x,y,10400,9830,9350,10010,9270,10480,9430,9110,9500,10560,7c:0e:ce:0e:7c:e0,7c:0e:ce:2a:27:30,7c:0e:ce:2a:27:34,7c:0e:ce:2a:27:31,58:f3:9c:3a:47:e0,58:f3:9c:3a:47:e1,58:f3:9c:3a:47:e4,7c:0e:ce:0e:7c:e1,7c:0e:ce:0e:7c:e4,7c:0e:ce:2a:2e:a4,7c:0e:ce:2a:2e:a1,7c:0e:ce:2a:2e:a0,ac:d1:b8:03:b8:ec,7c:0e:ce:2a:27:32,58:f3:9c:9b:00:22,58:f3:9c:3a:47:e2,7c:0e:ce:0e:7c:e2,7c:0e:ce:0e:7c:e3,7c:0e:ce:2a:2e:a2,7c:0e:ce:15:7a:a1,7c:0e:ce:15:7a:a4,7c:0e:ce:15:7a:a0,7c:0e:ce:2a:27:33,7c:0e:ce:15:7a:a2,58:f3:9c:9d:40:81,58:f3:9c:9d:40:84,58:f3:9c:9d:40:80,c8:3a:35:44:b0:e0,ec:08:6b:f6:be:58,c8:3a:35:30:e1:00,58:f3:9c:9d:40:82,58:f3:9c:9b:00:24,58:f3:9c:9b:00:20,58:f3:9c:9b:00:21,7c:0e:ce:1d:55:31,7c:0e:ce:1d:55:32,7c:0e:ce:1d:55:34,7c:0e:ce:1d:55:30,7c:0e:ce:1d:55:33
0.0,0.0,28,20,15,22,15,26,13,10,13,28,-75,-75,-76,-75,-75,-75,-75,-75,-74,-40,-41,-45,-83,-75,-88,-76,-74,-65,-40,-81,-81,-80,-75,-81,-70,-70,-70,-85,-89,-91,-70,-100,-100,-100,-100,-100,-100,-100,-100
0.0,1.0,27,20,16,21,17,26,13,10,13,27,-58,-67,-68,-68,-67,-67,-67,-58,-58,-45,-45,-45,-81,-67,-81,-68,-57,-100,-45,-76,-76,-76,-68,-76,-70,-70,-70,-85,-89,-91,-70,-80,-81,-81,-86,-85,-100,-100,-100
0.0,2.0,27,17,14,19,14,26,14,10,13,26,-58,-67,-68,-68,-67,-67,-67,-58,-58,-45,-45,-50,-81,-67,-81,-68,-57,-100,-45,-76,-76,-76,-68,-76,-70,-70,-70,-85,-89,-91,-70,-80,-81,-81,-86,-85,-100,-100,-100
0.0,3.0,27,19,14,22,15,26,13,10,14,27,-58,-67,-68,-68,-67,-67,-67,-58,-58,-45,-45,-51,-81,-67,-81,-68,-57,-100,-45,-76,-76,-76,-68,-76,-70,-70,-70,-85,-89,-91,-70,-80,-81,-81,-86,-85,-100,-100,-100
0.0,4.0,31,16,14,18,16,26,13,10,12,27,-58,-67,-68,-68,-67,-67,-67,-58,-58,-45,-45,-52,-81,-67,-81,-68,-57,-100,-45,-76,-76,-76,-68,-76,-70,-70,-70,-85,-89,-91,-70,-80,-81,-81,-86,-85,-100,-100,-100
0.0,5.0,32,17,15,20,16,14,13,10,15,27,-58,-67,-68,-68,-67,-67,-67,-58,-58,-45,-45,-53,-81,-67,-81,-68,-57,-100,-45,-76,-76,-76,-68,-76,-70,-70,-70,-85,-89,-91,-70,-80,-81,-81,-86,-85,-100,-100,-100
0.0,6.0,20,19,15,22,18,26,13,10,13,25,-58,-67,-68,-68,-67,-67,-67,-58,-58,-45,-45,-58,-81,-67,-81,-68,-57,-100,-45,-76,-76,-76,-68,-76,-70,-70,-70,-85,-89,-91,-70,-80,-81,-81,-86,-85,-100,-100,-100
0.0,7.0,30,20,14,22,16,26,14,11,14,27,-52,-63,-63,-64,-74,-74,-74,-52,-52,-60,-60,-59,-82,-63,-72,-74,-52,-100,-60,-77,-77,-77,-68,-77,-86,-100,-100,-100,-100,-100,-86,-80,-81,-81,-84,-86,-85,-100,-100
0.0,8.0,27,21,14,22,17,14,13,11,14,27,-52,-63,-63,-64,-74,-74,-74,-52,-52,-60,-60,-55,-82,-63,-72,-74,-52,-100,-60,-77,-77,-77,-68,-77,-86,-100,-100,-100,-100,-100,-86,-80,-81,-81,-84,-86,-85,-100,-100
0.0,9.0,26,20,15,22,13,26,12,11,14,26,-52,-63,-63,-64,-74,-74,-74,-52,-52,-60,-60,-57,-82,-63,-72,-74,-52,-100,-60,-77,-77,-77,-68,-77,-86,-100,-100,-100,-100,-100,-86,-80,-81,-81,-84,-86,-85,-100,-100
