x,y,10400,9350,9830,10010,9270,10480,9110,9430,9500,10560,58:f3:9c:9d:40:80,58:f3:9c:9d:40:81,58:f3:9c:9d:40:84,58:f3:9c:c9:06:21,58:f3:9c:c9:06:20,58:f3:9c:9d:45:91,58:f3:9c:9d:45:90,58:f3:9c:9d:45:94,58:f3:9c:c9:06:24,58:f3:9c:9b:00:24,58:f3:9c:9b:00:20,58:f3:9c:46:80:74,58:f3:9c:9b:00:21,58:f3:9c:46:80:71,00:e0:4b:d6:a9:6e,58:f3:9c:9d:40:82,58:f3:9c:c9:06:22,58:f3:9c:9d:45:92,58:f3:9c:46:80:72,58:f3:9c:9b:00:22,7c:0e:ce:2a:2e:a4,7c:0e:ce:2a:2e:a1,7c:0e:ce:2a:2e:a0,c8:3a:35:30:e1:00,7c:0e:ce:2a:2e:a2,7c:0e:ce:15:7a:a1,7c:0e:ce:15:7a:a2,58:f3:9c:9a:f9:10,58:f3:9c:9a:f9:11,58:f3:9c:9a:f9:14,60:e3:27:cb:f4:22,00:1e:a6:12:ba:b8,58:f3:9c:9a:f9:12
0,0,40,28,25,24,24,33,26,16,24,32,-50,-55,-56,-72,-72,-73,-73,-73,-73,-80,-81,-81,-81,-82,-91,-56,-72,-73,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1,0,35,20,23,25,23,34,27,18,23,32,-48,-55,-56,-72,-72,-73,-73,-73,-73,-80,-81,-81,-81,-82,-91,-56,-72,-73,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2,0,28,27,29,25,24,33,26,19,27,20,-47,-55,-56,-72,-72,-73,-73,-73,-73,-80,-81,-81,-81,-82,-91,-56,-72,-73,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
3,0,38,28,25,23,26,34,27,20,19,32,-48,-55,-56,-72,-72,-73,-73,-73,-73,-80,-81,-81,-81,-82,-91,-56,-72,-73,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
4,0,21,28,25,24,28,38,23,18,17,20,-47,-55,-56,-72,-72,-73,-73,-73,-73,-80,-81,-81,-81,-82,-91,-56,-72,-73,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
4,1,38,26,25,23,26,32,19,17,19,32,-45,-55,-56,-72,-72,-73,-73,-73,-73,-80,-81,-81,-81,-82,-91,-56,-72,-73,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
3,1,34,25,25,24,28,33,24,16,24,31,-47,-46,-46,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-79,-79,-79,-90,-79,-100,-100,-100,-100,-100,-100,-100,-100
2,1,40,22,28,25,23,33,17,16,22,32,-45,-46,-46,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-79,-79,-79,-90,-79,-100,-100,-100,-100,-100,-100,-100,-100
1,1,34,23,26,24,21,34,21,19,27,33,-44,-46,-46,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-79,-79,-79,-90,-79,-100,-100,-100,-100,-100,-100,-100,-100
0,1,41,25,23,23,24,33,18,20,25,32,-45,-46,-46,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-79,-79,-79,-90,-79,-100,-100,-100,-100,-100,-100,-100,-100
0,2,37,21,23,23,20,33,15,15,18,32,-45,-46,-46,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-79,-79,-79,-90,-79,-100,-100,-100,-100,-100,-100,-100,-100
1,2,36,24,25,24,21,32,17,16,24,32,-42,-46,-46,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-79,-79,-79,-90,-79,-100,-100,-100,-100,-100,-100,-100,-100
2,2,35,20,24,24,24,32,14,17,21,31,-41,-46,-46,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-79,-79,-79,-90,-79,-100,-100,-100,-100,-100,-100,-100,-100
